# 气象站 北京, 中国, WMO_ID=54511，选择从 01.01.2022 至 21.07.2022, 所有日期
# 编码: UTF-8
# 数据由web站点“Reliable Prognosis”提供，rp5.ru
# 使用数据时，请自觉指出网站名称
# 气象参数代码见地址 http://rp5.ru/archive.php?wmo_id=54511&lang=cn
#
"当地时间 北京";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"19.07.2022 05:00";"21.7";"748.3";"751.3";"0.5";"100";"从西方吹来的风";"1";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"21.7";"35.7";"";"";"2500或更高，或无云。";"";"";"12.0";"21.7";"无降水";"12";"";"";"";"";
"19.07.2022 02:00";"23.8";"747.8";"750.7";"0.4";"81";"从西南偏南方向吹来的风";"1";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.6";"35.7";"";"";"2500或更高，或无云。";"";"";"18.0";"20.3";"无降水";"12";"";"";"";"";
"18.07.2022 23:00";"25.9";"747.4";"750.2";"0.9";"70";"从西南偏西方向吹来的风";"1";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"23.6";"35.7";"";"";"2500或更高，或无云。";"";"";"20.0";"20.0";"无降水";"12";"";"";"";"";
"18.07.2022 20:00";"30.1";"746.5";"749.3";"0.6";"49";"从西南方吹来的风";"2";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.6";"35.7";"";"";"2500或更高，或无云。";"";"";"28.0";"18.2";"无降水";"12";"";"";"";"";
"18.07.2022 17:00";"33.3";"745.9";"748.8";"-1.0";"38";"从西南方吹来的风";"4";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.6";"37.0";"";"";"2500或更高，或无云。";"";"";"29.0";"17.1";"无降水";"12";"";"";"";"";
"18.07.2022 14:00";"34.8";"746.9";"749.8";"-1.0";"25";"从西方吹来的风";"3";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.6";"37.2";"";"";"2500或更高，或无云。";"";"";"30.0";"11.9";"无降水";"12";"";"";"";"";
"18.07.2022 11:00";"32.2";"747.9";"750.7";"-0.3";"38";"从东南偏东方向吹来的风";"2";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.6";"37.2";"";"";"2500或更高，或无云。";"";"";"30.0";"16.1";"无降水";"12";"";"";"";"";
"18.07.2022 08:00";"29.7";"748.2";"751.0";"0.4";"58";"从西北偏北方向吹来的风";"1";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.6";"37.2";"";"";"2500或更高，或无云。";"";"";"24.0";"20.6";"无降水";"12";"";"";"";"";
"18.07.2022 05:00";"24.3";"747.8";"750.7";"0.1";"79";"从东北偏东方向吹来的风";"1";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"23.6";"37.2";"";"";"2500或更高，或无云。";"";"";"18.0";"20.4";"无降水";"12";"";"";"";"";
"18.07.2022 02:00";"26.8";"747.7";"750.5";"2.1";"63";"从东北偏东方向吹来的风";"2";"";"9";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.6";"37.2";"";"";"2500或更高，或无云。";"";"";"22.0";"19.2";"无降水";"12";"";"";"";"";
"17.07.2022 23:00";"26.4";"745.6";"748.5";"1.0";"65";"从西北偏西方向吹来的风";"1";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"23.6";"37.2";"";"";"2500或更高，或无云。";"";"";"22.0";"19.3";"无降水";"12";"";"";"";"";
"17.07.2022 20:00";"31.3";"744.6";"747.4";"0.8";"40";"从西南方吹来的风";"1";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.6";"37.2";"";"";"2500或更高，或无云。";"";"";"19.0";"16.1";"无降水";"12";"";"";"";"";
"17.07.2022 17:00";"37.0";"743.8";"746.6";"-1.3";"27";"从西方吹来的风";"3";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.6";"37.2";"";"";"2500或更高，或无云。";"";"";"30.0";"14.9";"无降水";"12";"";"";"";"";
"17.07.2022 14:00";"36.0";"745.1";"748.0";"-1.1";"28";"从北方吹来的风";"3";"";"10";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.6";"36.0";"";"";"2500或更高，或无云。";"";"";"30.0";"14.6";"无降水";"12";"";"";"";"";
"17.07.2022 11:00";"34.0";"746.2";"749.0";"-0.4";"33";"从北方吹来的风";"4";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.6";"34.2";"";"";"2500或更高，或无云。";"";"";"29.0";"15.5";"无降水";"12";"";"";"";"";
"17.07.2022 08:00";"27.3";"746.6";"749.5";"0.2";"90";"从西南偏西方向吹来的风";"1";"";"4";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.6";"33.5";"";"";"2500或更高，或无云。";"";"";"6.0";"25.5";"无降水";"12";"";"";"";"";
"17.07.2022 05:00";"23.8";"746.4";"749.2";"0.0";"100";"从南方吹来的风";"1";"";"5";"";"薄雾 ";"";"";"23.8";"33.5";"";"";"2500或更高，或无云。";"";"";"6.0";"23.8";"无降水";"12";"";"";"";"";
"17.07.2022 02:00";"25.4";"746.4";"749.2";"-0.1";"93";"从西南方吹来的风";"1";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"25.4";"33.5";"";"";"300-600";"";"";"9.0";"24.2";"无降水";"12";"";"";"";"";
"16.07.2022 23:00";"27.5";"746.5";"749.4";"0.4";"92";"从东方吹来的风";"1";"";"6";"";"霾 ";"";"";"25.4";"33.5";"";"";"2500或更高，或无云。";"";"";"6.0";"26.1";"无降水";"12";"";"";"";"";
"16.07.2022 20:00";"29.7";"746.1";"748.9";"0.2";"66";"从西南偏南方向吹来的风";"2";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"25.4";"33.5";"";"";"2500或更高，或无云。";"";"";"15.0";"22.7";"无降水";"12";"";"";"";"";
"16.07.2022 17:00";"33.0";"745.9";"748.7";"-0.4";"56";"从西南偏南方向吹来的风";"3";"";"6";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"25.4";"34.9";"";"";"1000-1500";"";"";"6.0";"23.1";"无降水";"12";"";"";"";"";
"16.07.2022 14:00";"32.6";"746.3";"749.2";"-0.4";"63";"从东南偏东方向吹来的风";"2";"";"";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"25.4";"36.3";"";"";"1000-1500";"";"";"6.0";"24.6";"无降水";"12";"";"";"";"";
"16.07.2022 11:00";"30.3";"746.7";"749.5";"0.1";"58";"从东北方吹来的风";"3";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"25.4";"36.3";"";"";"2500或更高，或无云。";"";"";"13.0";"21.1";"无降水";"12";"";"";"";"";
"16.07.2022 08:00";"28.1";"746.6";"749.5";"0.6";"66";"从东北方吹来的风";"2";"";"";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"25.4";"36.3";"";"";"2500或更高，或无云。";"";"";"20.0";"21.2";"无降水";"12";"";"";"";"";
"16.07.2022 05:00";"25.4";"746.0";"748.9";"0.3";"84";"从东北方吹来的风";"1";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"23.2";"36.3";"";"";"2500或更高，或无云。";"";"";"17.0";"22.5";"无降水";"12";"";"";"";"";
"16.07.2022 02:00";"27.7";"745.7";"748.6";"-0.4";"67";"从西南方吹来的风";"1";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.1";"36.3";"";"";"2500或更高，或无云。";"";"";"19.0";"21.0";"无降水";"12";"";"";"";"";
"15.07.2022 23:00";"29.7";"746.1";"748.9";"0.2";"57";"从西南方吹来的风";"1";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"23.1";"36.3";"";"";"2500或更高，或无云。";"";"";"23.0";"20.3";"无降水";"12";"";"";"";"";
"15.07.2022 20:00";"32.1";"745.9";"748.7";"0.0";"45";"从西南方吹来的风";"1";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.1";"36.3";"";"";"2500或更高，或无云。";"";"";"28.0";"18.7";"无降水";"12";"";"";"";"";
"15.07.2022 17:00";"35.0";"745.9";"748.7";"-1.4";"34";"从西南方吹来的风";"2";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.1";"36.3";"";"";"2500或更高，或无云。";"";"";"30.0";"16.8";"无降水";"12";"";"";"";"";
"15.07.2022 14:00";"35.8";"747.3";"750.1";"-1.2";"33";"从南方吹来的风";"2";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.1";"36.1";"";"";"2500或更高，或无云。";"";"";"30.0";"17.0";"无降水";"12";"";"";"";"";
"15.07.2022 11:00";"33.9";"748.5";"751.3";"-0.5";"36";"从东北方吹来的风";"1";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.1";"35.6";"";"";"2500或更高，或无云。";"";"";"30.0";"16.7";"无降水";"12";"";"";"";"";
"15.07.2022 08:00";"29.0";"749.0";"751.9";"0.0";"48";"从东北方吹来的风";"2";"";"";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.1";"35.6";"";"";"2500或更高，或无云。";"";"";"27.0";"16.9";"无降水";"12";"";"";"";"";
"15.07.2022 05:00";"23.3";"749.0";"751.9";"0.4";"100";"从东北偏东方向吹来的风";"1";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"21.6";"35.6";"";"";"2500或更高，或无云。";"";"";"12.0";"23.3";"无降水";"12";"";"";"";"";
"15.07.2022 02:00";"23.8";"748.6";"751.5";"0.2";"92";"从东北方吹来的风";"1";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.6";"35.6";"";"";"2500或更高，或无云。";"";"";"13.0";"22.4";"无降水";"12";"";"";"";"";
"14.07.2022 23:00";"26.4";"748.4";"751.3";"0.4";"66";"从西南偏南方向吹来的风";"1";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"21.6";"35.6";"";"";"2500或更高，或无云。";"";"";"22.0";"19.5";"无降水";"12";"";"";"";"";
"14.07.2022 20:00";"30.2";"748.0";"750.8";"0.3";"47";"从西南方吹来的风";"2";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.6";"35.6";"";"";"2500或更高，或无云。";"";"";"29.0";"17.6";"无降水";"12";"";"";"";"";
"14.07.2022 17:00";"34.0";"747.7";"750.6";"";"36";"从西南偏南方向吹来的风";"3";"";"7";"";" ";"";"";"21.6";"35.6";"";"";"";"";"";"30.0";"16.8";"无降水";"6";"";"";"";"";
"14.07.2022 14:00";"34.8";"748.5";"751.3";"-0.6";"31";"从东北方吹来的风";"1";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.6";"34.8";"";"";"2500或更高，或无云。";"";"";"30.0";"15.2";"无降水";"12";"";"";"";"";
"14.07.2022 11:00";"32.5";"749.1";"751.9";"-0.1";"36";"从东北方吹来的风";"3";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"21.6";"33.6";"";"";"2500或更高，或无云。";"";"";"30.0";"15.5";"无降水";"12";"";"";"";"";
"14.07.2022 08:00";"29.3";"749.2";"752.1";"0.8";"48";"从东北偏北方向吹来的风";"2";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"";"2500或更高，或无云。";"";"";"30.0";"17.2";"无降水";"12";"";"";"";"";
"14.07.2022 05:00";"21.9";"748.4";"751.3";"1.0";"100";"从东北偏东方向吹来的风";"1";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"20.9";"33.6";"";"";"2500或更高，或无云。";"";"";"18.0";"21.9";"无降水";"12";"";"";"";"";
"14.07.2022 02:00";"24.8";"747.4";"750.2";"0.1";"100";"从北方吹来的风";"0";"";"8";"";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"20.9";"33.6";"";"";"2500或更高，或无云。";"";"";"4.7";"24.8";"无降水";"12";"";"";"";"";
"13.07.2022 23:00";"28.4";"747.3";"750.1";"1.2";"89";"从西南偏南方向吹来的风";"1";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"20.9";"33.6";"";"";"2500或更高，或无云。";"";"";"12.0";"26.4";"无降水";"12";"";"";"";"";
"13.07.2022 20:00";"30.4";"746.1";"748.9";"0.5";"75";"从西南方吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"20.9";"33.6";"";"";"2500或更高，或无云。";"";"";"18.0";"25.5";"无降水";"12";"";"";"";"";
"13.07.2022 17:00";"33.5";"745.6";"748.5";"-1.2";"57";"从西南方吹来的风";"3";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"20.9";"33.6";"";"";"2500或更高，或无云。";"";"";"25.0";"23.8";"无降水";"12";"";"";"";"";
"13.07.2022 14:00";"32.5";"746.8";"749.7";"-1.2";"61";"从西南偏南方向吹来的风";"3";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"20.9";"32.6";"";"";"2500或更高，或无云。";"";"";"30.0";"24.0";"无降水";"12";"";"";"";"";
"13.07.2022 11:00";"30.3";"748.0";"751.0";"-0.6";"62";"从西南偏西方向吹来的风";"2";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"20.9";"30.3";"";"";"2500或更高，或无云。";"";"";"24.0";"22.2";"无降水";"12";"";"";"";"";
"13.07.2022 08:00";"26.7";"748.6";"751.5";"0.9";"79";"从西北偏西方向吹来的风";"2";"";"3";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"20.6";"26.7";"";"";"2500或更高，或无云。";"";"";"25.0";"22.8";"无降水";"12";"";"";"";"";
"13.07.2022 05:00";"20.9";"747.7";"750.7";"-0.4";"100";"从北方吹来的风";"0";"";"3";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"20.6";"26.0";"";"";"2500或更高，或无云。";"";"";"11.0";"20.9";"无降水";"12";"";"";"";"";
"13.07.2022 02:00";"21.9";"748.1";"751.0";"-0.7";"100";"从北方吹来的风";"0";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"20.6";"26.0";"";"";"2500或更高，或无云。";"";"";"13.0";"21.9";"无降水";"12";"";"";"";"";
"12.07.2022 23:00";"23.3";"748.8";"751.7";"0.2";"100";"从西方吹来的风";"0";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"20.6";"26.0";"";"";"2500或更高，或无云。";"";"";"15.0";"23.3";"0.7";"12";"";"";"";"";
"12.07.2022 20:00";"24.8";"748.6";"751.6";"0.1";"96";"从西南偏西方向吹来的风";"1";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"20.6";"26.0";"";"";"1000-1500";"";"";"21.0";"24.1";"7.0";"12";"";"";"";"";
"12.07.2022 17:00";"24.8";"748.5";"751.4";"-1.1";"88";"从东北偏北方向吹来的风";"2";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"20.6";"26.5";"";"";"600-1000";"";"";"30.0";"22.7";"9.0";"12";"";"";"";"";
"12.07.2022 14:00";"23.3";"749.6";"752.5";"-0.8";"100";"从东北偏北方向吹来的风";"2";"";"7";"";"小雨（不冻） ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"20.6";"27.1";"";"";"300-600";"";"";"15.0";"23.3";"15.0";"12";"";"";"";"";
"12.07.2022 11:00";"21.5";"750.4";"753.3";"-0.3";"100";"从东北方吹来的风";"3";"";"7";"";"间歇性雨，不冻，在观测时较弱 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"20.6";"27.5";"";"";"100-200";"";"";"4.3";"21.5";"17.0";"12";"";"";"";"";
"12.07.2022 08:00";"20.8";"750.7";"753.7";"0.0";"100";"从东北方吹来的风";"3";"";"7";"";"间歇性雨，不冻，在观测时中度 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"20.8";"27.5";"";"";"200-300";"";"";"2.7";"20.8";"11.0";"12";"";"";"";"";
"12.07.2022 05:00";"21.7";"750.7";"753.6";"0.0";"100";"从东方吹来的风";"2";"";"";"";"间歇性雨，不冻，在观测时较弱 ";"";"";"19.8";"27.5";"";"";"300-600";"";"";"2.8";"21.7";"9.0";"12";"";"";"";"";
"12.07.2022 02:00";"23.2";"750.7";"753.7";"-1.0";"100";"从东北方吹来的风";"2";"";"4";"";"间歇性雨，不冻，在观测时中度 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.6";"27.5";"";"";"600-1000";"";"";"1.5";"23.2";"3.0";"12";"";"";"";"";
"11.07.2022 23:00";"24.8";"751.7";"754.6";"0.4";"100";"从西北方吹来的风";"1";"";"4";"";"小雨（不冻） ";"";"";"";"27.5";"";"";"1000-1500";"";"";"5.0";"24.8";"无降水";"12";"";"";"";"";
"11.07.2022 20:00";"25.5";"751.3";"754.2";"-0.2";"89";"从东北方吹来的风";"1";"";"4";"";"间歇性雨，不冻，在观测时较弱 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"27.5";"";"";"2500或更高，或无云。";"";"";"11.0";"23.6";"无降水";"12";"";"";"";"";
"11.07.2022 17:00";"26.5";"751.5";"754.4";"";"76";"从东北偏北方向吹来的风";"1";"";"4";"";" ";"";"";"19.6";"27.7";"";"";"2500或更高，或无云。";"";"";"14.0";"21.9";"无降水";"6";"";"";"";"";
"11.07.2022 14:00";"26.9";"752.0";"754.9";"0.0";"70";"从西南方吹来的风";"2";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.6";"27.7";"";"";"2500或更高，或无云。";"";"";"14.0";"21.0";"无降水";"12";"";"";"";"";
"11.07.2022 11:00";"27.2";"752.0";"754.9";"0.7";"67";"从西方吹来的风";"2";"";"3";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"19.6";"27.7";"";"";"2500或更高，或无云。";"";"";"13.0";"20.5";"无降水";"12";"";"";"";"";
